identifier,name
7801340430,"Worgotter, Andreas"
7801384206,"Méndez-Carbajo, Diego"
7801397191,"Ghartey, Edward E."
7801425684,"Ciccarone, Giuseppe"
7801425684,"Ciccarone, Giuseppe"
7801526189,"Vesterlund, Lise"
7801526189,"Vesterlund, Lise"
8048591900,"Fischer, Carolyn"
8060577100,"Kay, John A."
8067647200,"Silverman, Dan"
8104429100,"Lang, Kevin"
8134121900,"Renwick, Alan"
8142427700,"Eslava, Marcela"
8148112200,"Rubio-Ramírez, Juan Francisco"
8221099400,"Graham, Bryan S."
8228270800,"Jin, Ginger Zhe"
8231795800,"Fong, Yuk Fai"
8243889500,"Del Negro, Marco"
8288644500,"Coyle, Diane"
8293209700,"Costa-Font, Joan"
8370885800,"Backeberg, Gerhard R."
8414510600,"Doyon, Maurice A."
8422024900,"Hoffman, Phillip"
8576553900,"Primiceri, Giorgio E."
8587649100,"Jayachandran, Seema"
8587649100,"Jayachandran, Seema"
8596028400,"Lovejoy, Paul E."
8605234200,"Komunjer, Ivana"
8636360500,"Deschênes, Olivier"
8655842900,"Herring, Richard John"
8655842900,"Herring, Richard John"
8664461700,"Akyeampong, Emmanuel K."
8686318700,"Fortenbery, T. Randall"
8688087600,"Dormont, Brigitte Simone"
8694406000,"Snowberg, Erik C."
8699928000,"Antrobus, Geoff G."
8716236500,"Gopinath, Gita"
8889367800,"Fuchs-Schündeln, Nicola"
8889740400,"Chen, Yan"
